year,sellafield_TBq,la_hague_TBq,barseback_TBq,winfrith_TBq
1970,,,,0.903
1971,,,,3.7
1972,,,,7.03
1973,,0.42,,2.55
1974,,0.039,,7.4
1975,,0.22,3.00E-04,14.32
1976,,0.2,0.0128,3.42
1977,,0.22,0.0277,4.53
1978,,0.35,0.0535,7.66
1979,0.52,1.1,0.0229,11
1980,0.78,2.7,0.037,21.59
1981,0.74,4,0.044,21.21
1982,1.1,3.1,0.073,5.46
1983,1.7,14,0.04555,4.81
1984,1.3,25,0.05016,8.04
1985,2.3,15,0.04214,4.33
1986,1.5,12,0.0957,3.13
1987,1.4,7.5,0.03193,4.18
1988,0.96,6.6,0.01814,0.59
1989,0.17,5.8,0.00983,1.43
1990,0.17,4.5,0.0213,1.19
1991,0.09,2.7,0.02722,0.15
1992,0.07,1.2,0.05138,0.007
1993,0.09,1.8,0.01531,0.006
1994,0.11,0.53,0.01155,0.007
1995,1.3,0.55,0.02968,0.002
1996,0.43,0.39,0.05227,0.002
1997,1.5,0.485,0.03538,8.55E-04
1998,2.41,0.514,0.00912,3.00E-04
1999,0.89,0.321,0.01471,0.0146
2000,1.19,0.301,0.01788,0.0114
2001,1.2,0.36,0.0307,0.0013
2002,0.9,0.38,0.01757,0.0013
2003,0.43,0.36,0.00949,0.0011
2004,0.775,0.256,0.00496,0.00136
2005,0.663,0.227,0.00193,5.10E-04
2006,0.14,0.21,7.44E-04,
2007,0.05,0.469,0.00274,
2008,0.0721,0.0972,0.00103,
2009,0.0825,0.0857,0.00142,
2010,0.0981,0.0607,1.90E-04,
2011,0.0646,0.0558,6.40E-04,
2012,0.0535,0.08334,9.07E-05,
2013,0.0464,0.0756,8.67E-05,
2014,0.0456,0.0709,1.27E-04,
2015,0.0477,0.0585,,
2016,0.0334,0.058,,
2017,0.0206,0.0598,,
2018,0.0114,0.0817,,
2019,2.76E-04,1.1,,
2020,5.65E-05,0.186,,
2021,0.00115,0.144,,
