year,sellafield_TBq,la_hague_TBq
1951,,
1952,8,
1953,8,
1954,8,
1955,8,
1956,8,
1957,8,
1958,8,
1959,8,
1960,8,
1961,8,
1962,8,
1963,8,
1964,8,
1965,8,
1966,8,
1967,8,
1968,8,
1969,8,
1970,40,
1971,40,
1972,40,
1973,40,
1974,40,
1975,40,
1976,40,
1977,40,
1978,180,
1979,43,
1980,57,
1981,5.8,
1982,3.6,
1983,4.4,12
1984,4.3,14
1985,1.9,25
1986,6.6,12
1987,3.6,16
1988,4.2,10
1989,6.1,7.1
1990,3.8,5.7
1991,3.9,0.91
1992,3.2,0.47
1993,6.1,0.64
1994,72,0.37
1995,190,0.1
1996,150,0.12
1997,84,0.13
1998,53,0.219
1999,68.8,0.427
2000,44.4,0.388
2001,79,0.25
2002,85.4,0.14
2003,37,0.177
2004,14.3,0.0793
2005,6.7,0.0601
2006,5.62,0.0447
2007,4.89,0.061
2008,2.37,0.0741
2009,3.08,0.0516
2010,1.41,0.0516
2011,1.59,0.0199
2012,0.924,0.0269
2013,1.06,0.0773
2014,1.22,0.0286
2015,1.53,0.0295
2016,1.69,0.0313
2017,1.12,0.0474
2018,0.73,0.0374
2019,0.386,0.0375
2020,0.484,0.0209
2021,0.202,0.0242
