date,F_C14,F_C14_uncertainty,delta_C13,sample_number,species,ssams_sample_code
1967-07-15,1.407,0.007,-13.5,V759,Fucus vesiculosus,LuS 15390
1967-07-15,1.397,0.007,-14.3,V760,Fucus vesiculosus,LuS 15391
1970-08-23,1.354,0.005,,T70,,LuS 18475
1972-08-18,1.329,0.005,,T72,,LuS 18476
1973-08-15,1.329,0.005,,T73,,LuS 18477
1974-08-16,1.315,0.005,,T74,,LuS 18478
1975-08-20,1.312,0.005,,T75,,LuS 18479
1976-12-31,1.287,0.005,,V2109,Fucus serratus,LuS 18480
1977-06-20,1.279,0.005,,V2027,,LuS 18481
1978-06-26,1.273,0.005,,V2070,,LuS 18482
1979-09-09,1.249,0.006,,V2226,,LuS 19 071
1980-10-26,1.236,0.005,,V2554,,LuS 18483
1981-07-24,1.235,0.005,,V2782,Fucus vesiculosus,LuS 19811
1982-11-27,1.213,0.005,,V3315,,LuS 19812
1983-11-12,1.202,0.005,,V3557,,LuS 18484
1984-08-05,1.201,0.006,-12.5,V763       ,Fucus serratus,LuS 15382
1985-08-24,1.185,0.005,,,Fucus vesiculosus,LuS 19813
1986-06-07,1.18,0.005,,,,LuS 18485
1987-12-24,1.168,0.005,,,,LuS 18486
1988-06-26,1.167,0.006,-13.5,,Fucus serratus,LuS 15383
1989-07-08,1.159,0.006,,,,LuS 18487
1990-07-30,1.155,0.006,,,,LuS 18488
1991-06-09,1.144,0.006,,,,LuS 18489
1992-01-19,1.148,0.006,-13.9,,Fucus serratus,LuS 15384
1992-07-04,1.147,0.006,-12.5,,Fucus serratus,LuS 15385
1993-06-25,1.138,0.005,,,,LuS 18490
1994-07-09,1.137,0.006,-13.8,,Fucus serratus,LuS 15386
1995-08-12,1.133,0.005,,,,LuS 18491
1996-06-16,1.125,0.005,,,,LuS 18492
1996-09-29,1.112,0.005,,,Fucus serratus,LuS 19072
1997-01-03,1.113,0.005,,,Fucus serratus,LuS 19073
1997-06-21,1.127,0.005,,,Fucus serratus,LuS 19074
1997-07-21,1.123,0.005,,,Fucus serratus,LuS 19075
1997-09-28,1.122,0.005,,,Fucus serratus,LuS 19076
1998-03-30,1.138,0.005,,,Fucus serratus,LuS 19077
1998-07-03,1.151,0.005,,,Fucus serratus,LuS 19078
1998-08-03,1.151,0.005,,,,LuS 18 493
1999-01-01,1.151,0.005,,,Fucus serratus,LuS 19 079
1999-08-14,1.149,0.005,,,,LuS 19494
2000-05-20,1.147,0.005,,,,LuS 18495
2001-07-28,1.129,0.005,,,,LuS 18496
2002-08-08,1.109,0.005,,,,LuS 19814
2002-08-08,1.112,0.005,,,,LuS 19815
2003-06-26,1.111,0.005,,,Fucus vesiculosus,LuS 18497
2004-08-03,1.114,0.005,,,Fucus serratus,LuS 18498
2005-12-29,1.1,0.006,-15.4,,Fucus serratus,LuS 14569
2006-06-25,1.104,0.006,-15.1,,Fucus serratus,LuS 14570
2007-05-12,1.104,0.005,,,,LuS 18499
2008-12-31,1.089,0.006,-12.8,,Fucus serratus,LuS 14571
2009-06-21,1.093,0.005,,,,LuS 18500
2010-08-29,1.08,0.006,,,Fucus serratus,LuS 19 080
2011-06-26,1.069,0.005,-14.8,,Fucus serratus,LuS 14572
2011-12-30,1.067,0.006,-13.9,,Fucus serratus,LuS 14573
2012-08-05,1.062,0.005,,M29,Fucus serratus,LuS 19816
2013-06-23,1.069,0.005,,M188,Fucus serratus,LuS 19817
2014-06-20,1.071,0.006,-15.6,M330,Fucus serratus,LuS 14574
2015-01-19,1.081,0.006,-14.5,M342,Fucus serratus,LuS 14575
2015-12-26,1.065,0.005,,M490,,LuS 19818
2016-10-02,1.076,0.005,,M504,,LuS 18501
2017-02-06,1.072,0.005,,M509,Fucus serratus,LuS 13899
2017-06-22,1.063,0.006,-14.9,M527,Fucus serratus,LuS 15387
2017-12-17,1.051,0.005,,M537,Fucus serratus,LuS 13901
2018-06-23,1.056,0.005,,M552,Fucus serratus,LuS 13902
2018-12-31,1.057,0.005,-15.3,M571,Fucus serratus,LuS 15388
2019-06-23,1.057,0.005,-16.3,M587,Fucus serratus,LuS 15389
2019-06-23,1.046,0.004,-15.6,M587,Fucus serratus,LuS 15780
2020-01-06,1.047,0.004,-17.2,M606,Fucus serratus,LuS 15781
2020-03-03,1.048,0.004,-16.1,M611,Fucus serratus,LuS 15782
2020-03-03,1.047,0.004,-16.4,M612 (whole plants),Fucus vesiculosus,LuS 15783
2020-03-03,1.048,0.006,,"M612 (vesicles and above (part A), ~10 cm)",Fucus vesiculosus,LuS 15827
2020-03-03,1.05,0.006,,"M612 (top part of part A, youngest 6 cm)",Fucus vesiculosus,LuS 15828
2020-03-03,1.05,0.004,-18.2,M613,Fucus spiralis,LuS 15785
2020-06-23,1.048,0.005,,M676,Fucus serratus,LuS 18 034
2021-01-01,1.057,0.005,,M734,Fucus serratus,LuS 18 035
2021-07-04,1.042,0.005,,M747,Fucus serratus,LuS 18 036
2021-12-31,1.045,0.005,,M802,Fucus serratus,LuS 18 037
2022-05-01,1.043,0.005,,M814,Fucus serratus,LuS 18 038
2023-05-01,1.035,0.005,,M960,Fucus serratus,LuS 19 081
2023-05-01,1.03,0.005,,M961,Fucus vesiculosus,LuS 19 082
2023-11-13,1.029,0.005,,M1003,Fucus serratus,LuS 19819
2023-11-13,1.032,0.005,,M1004,Fucus vesiculosus,LuS 19820
