date,activity_concentration
1967-07-15,9.1
1967-08-19,10.656
1970-08-23,7.178
1970-08-23,7.289
1970-08-23,7.289
1970-08-23,9.324
1972-08-18,5.624
1973-08-18,6.882
1974-08-15,6.771
1975-08-20,8.251
1976-08-21,5.18
1976-12-31,4.847
1977-06-20,7.289
1977-06-20,6.919
1978-05-14,8.214
1978-06-26,7.326
1978-12-24,6.438
1979-04-15,5.957
1979-09-09,12.765
1979-11-25,11.211
1980-03-01,10.175
1980-03-17,11.433
1980-04-07,8.917
1980-05-18,11.1
1980-05-25,11.692
1980-07-27,14.023
1981-01-03,12.802
1981-05-24,16.058
1981-07-24,15.17
1981-12-20,11.433
1982-07-11,12.432
1982-09-26,9.99
1982-11-27,8.954
1983-04-03,8.362
1985-01-21,8.8
1985-04-08,6.9
1985-05-19,8.5
1986-03-30,6.6
1986-05-04,11.4
1986-06-07,43
1986-07-10,27.6
1986-07-27,27
1986-10-19,18.9
1986-12-06,20.6
1986-12-27,11.6
1987-04-20,16.1
1987-08-08,17.9
1987-10-10,17.5
1987-12-24,14.7
1988-01-23,15
1988-04-03,16.4
1988-06-26,20.4
1988-08-27,19.5
1989-03-27,14.6
1989-07-08,24.2
1989-09-23,16.9
1990-05-20,23.3
1990-07-31,19.2
1990-11-03,16.5
1990-12-15,17.5
1991-01-18,16.3
1991-04-01,13.8
1991-06-09,16
1991-08-25,23.3
1991-09-28,16.9
1991-11-24,22.1
1992-01-19,14.8
1992-03-21,22.2
1992-07-04,28.1
1992-08-27,22.8
1992-09-26,19.2
1992-12-25,12.6
1993-03-28,15
1993-04-11,16.5
1993-07-23,16.9
1993-10-31,10.8
1993-11-14,12.7
1993-12-25,11.2
1994-03-31,16.5
1994-05-28,21.8
1994-06-25,17.2
1994-07-09,17
1994-08-15,21.7
1994-10-09,11.7
1995-02-11,10.5
1995-04-16,14.5
1995-06-03,17.5
1995-08-12,13.9
1995-11-25,11.1
1996-01-20,11.5
1996-03-17,11.3
1996-06-16,12.8
1996-07-22,11.7
1996-09-29,12.2
1996-11-10,9.4
1997-01-03,9.5
1997-06-21,13.3
1997-07-21,9.6
1997-09-28,9.7
1997-12-21,8.3
1998-03-30,12.2
1998-03-31,11.3
1998-07-03,12.1
1998-08-03,13
1998-11-08,13.5
1999-01-01,10.6
1999-04-02,13
1999-07-03,10.9
1999-08-14,13.2
1999-10-15,9
1999-12-31,8.2
2000-03-04,6.8
2000-04-06,10.4
2000-06-05,14
2000-07-09,10.8
2000-11-12,7.9
2001-01-01,9.8
2001-01-20,8.55
2001-03-24,8.4
2001-04-14,7.7
2001-07-03,12.8
2001-07-28,9.4
2001-08-25,9.8
2001-10-13,8.7
2001-12-15,6.8
2001-12-31,7.7
2002-03-16,8.8
2002-03-29,8
2002-05-26,13.5
2002-08-08,12.1
2002-08-23,11
2002-12-01,6.3
2002-12-29,5.4
2003-03-10,8.1
2003-04-20,8.2
2003-06-28,7.8
2003-07-15,8.5
2003-09-07,7
2003-12-31,6.3
2004-03-06,6
2004-04-12,6.5
2004-06-30,
2005-01-15,6.2
2005-02-24,5.9
2005-03-25,6.7
2005-06-30,7.3
2005-08-03,7.8
2005-12-29,6.5
2006-02-25,7.4
2006-04-16,6.5
2006-05-21,9.9
2006-06-25,10.7
2006-08-01,8.5
2006-11-29,7.95
2007-05-12,9.4
2007-06-22,9.7
2007-08-04,6.95
2007-09-09,7.1
2007-11-04,7.8
2007-12-16,7
2008-01-01,7.3
2008-03-21,6.4
2008-04-26,9.3
2008-05-31,8.7
2008-06-12,4.3
2008-07-03,
2008-08-16,7.95
2008-11-03,5.5
2008-11-29,6.7
2008-12-31,5.9
2009-03-14,5.7
2009-04-10,4.5
2009-06-21,4.3
2009-07-23,5.3
2009-08-01,8.6
2009-08-08,2.6
2009-09-13,3.2
2009-12-13,
2009-12-30,
2010-04-02,
2010-05-30,5.48
2010-07-03,6.57
2010-07-20,6.36
2010-08-27,
2010-08-28,4.97
2010-10-24,4.24
2010-12-23,
2011-04-22,
2011-05-15,
2011-06-26,
2011-07-20,
2011-08-12,
2011-10-24,
2011-12-30,
2012-03-05,4.76
2012-04-08,
2012-04-09,
2012-05-20,7.47
2012-07-03,5.46
2012-08-05,6.2
2012-10-22,
2012-12-17,
2013-02-17,
2013-03-11,
2013-05-12,2.92
2013-06-23,4.32
2013-08-07,2.87
2013-09-10,2.77
2013-10-27,
2013-12-26,
2014-01-01,
2014-01-01,
2014-03-18,
2014-04-21,
2014-06-20,4.73
2014-07-20,3.56
2014-09-15,4.18
2014-11-14,2.78
2015-01-19,2.74
2015-04-04,
2015-06-11,3.39
2015-06-11,3.42
2015-06-11,3.26
2015-08-04,4.12
2015-08-04,3.73
2015-08-04,5.11
2015-08-04,3.52
2015-10-04,4.48
2015-12-26,3.72
2016-03-06,
2016-05-15,
2016-06-26,4.78
2016-08-15,3.44
2016-10-02,3.68
2016-11-14,
2016-12-17,    
2017-02-06,2.69
2017-04-15,4.77
2017-06-22,3.64
2017-08-11,3.3
2017-10-15,4.09
2017-12-17,3.26
2018-01-20,3.01
2018-03-18,3.15
2018-03-18,2.77
2018-05-10,3.6
2018-06-23,4.51
2018-08-29,2.62
2018-10-28,2.45
2018-12-31,2.24
2019-03-07,2.25
2019-05-16,3.53
2019-06-23,3.18
2019-08-29,2.33
2019-10-16,2.9
2019-11-15,3.2
2019-11-15,2.4
2020-01-06,3.2
2020-03-03,1.8
2020-05-02,4.1
2020-06-23,4
2020-08-27,4.1
2020-09-29,3.6
2020-12-06,3.57
2021-01-01,3.56
