date,activity_1E14_atom_per_kg
1980-10-26,0.358206858659252
1985-05-19,0.168724112996532
1985-11-17,0.174826566623901
1987-12-24,0.512666007020998
1990-12-15,0.555721020494425
1992-01-19,0.29899586686996
1996-01-20,0.844801827379986
1997-01-03,0.450471592528785
1997-12-21,1.38981361895935
1997-12-21,2.59027223962687
1999-01-01,1.25582918170578
1999-12-31,1.41736125936791
2001-12-31,3.13258884325043
2002-05-26,1.18237866013118
2002-12-29,1.91798218317146
2003-12-31,3.48566402138929
2004-04-12,1.48221355865643
2005-02-24,0.714164256027292
2006-01-01,2.57866234121486
2006-02-25,4.2368356778366
2006-05-21,0.266506772187535
2007-12-16,1.13231486707117
2008-12-31,0.822311812858713
2009-12-30,3.09639085204281
2012-05-20,3.44948442161767
2012-12-17,8.68096947261431
2013-12-26,2.70999601581928
2014-01-01,3.11659013412757
2014-11-14,10.7475999214266
2015-04-04,2.72932917336646
2015-10-04,2.06518114540234
2015-12-26,12.6841592864421
2015-12-26,6.11534083981114
2016-03-06,0.712535407744907
2016-05-15,1.23300555959063
2016-10-02,2.84685495511045
2016-12-17,7.13947406337222
2017-02-06,3.67040378961095
2017-02-06,1.90610418566241
2017-04-15,3.3341122987052
2017-10-15,1.68052897755015
2017-10-15,2.94269591355814
2017-12-17,2.12628053529242
2018-01-21,0.727704206282245
2018-01-21,0.371681375526433
2018-03-18,0.903241880985848
2018-05-10,0.410222648626639
2018-05-10,0.382818366071906
2018-10-28,0.612209936379878
2018-10-28,0.913020157136492
2019-03-07,0.347896510960141
2019-05-16,0.342213687371948
2019-11-15,4.13647145203399
2019-11-15,5.2834436482619
2021-12-31,2.23044041576807
